FEATURE IMPORTANCE TABLE
SNo.            Feature   Importance
0        L4_L5_step_off    0.138741
1       slip_dist_L4_L5    0.066469
2       slip_dist_L5_S1    0.065042
3                   age    0.058020
4           perct_spond    0.048992
5                gender    0.033917
6      p_disl_h_L4b_L5a    0.023437
7   compr_ratio_L3b_L4a    0.022704
8   compr_ratio_L2b_L3a    0.021268
9            v_tilt_L3b    0.020918
10        int_seg_l4_l5    0.020826
11     a_disl_h_L3b_L4a    0.020671
12     a_disl_h_L2b_L3a    0.020666
13     p_disl_h_L5b_S1a    0.020182
14      aspect_ratio_L2    0.020017
15           v_tilt_L4b    0.017872
16           v_tilt_L3a    0.017857
17        int_seg_l3_l4    0.017136
18     p_disl_h_L3b_L4a    0.017046
19      aspect_ratio_L5    0.016777
20     a_disl_h_L1b_L2a    0.016605
21        int_seg_l1_l2    0.015952
22     p_disl_h_L2b_L3a    0.015631
23           v_tilt_S1a    0.015444
24     p_disl_h_L1b_L2a    0.015183
25           v_tilt_L5b    0.015164
26           v_tilt_L5a    0.015109
27  compr_ratio_L5b_S1a    0.015022
28           v_tilt_L4a    0.014650
29           v_tilt_L1b    0.013968
30      aspect_ratio_L3    0.013947
31        int_seg_l5_s1    0.013463
32           v_tilt_L2a    0.013455
33     a_disl_h_L5b_S1a    0.012910
34        int_seg_l2_l3    0.012650
35     a_disl_h_L4b_L5a    0.012593
36           v_tilt_L1a    0.012129
37      aspect_ratio_L1    0.012086
38           v_tilt_L2b    0.012003
39          cobbs_angle    0.011934
40      aspect_ratio_L4    0.011365
41  compr_ratio_L4b_L5a    0.010717
42  compr_ratio_L1b_L2a    0.009460
